P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Pottiales	Bruchiales	Dicranales	5.865819584944982	2.2418826794989855e-09	0.3174700971660753	42548044.0	1509499.0	883982.0	1485048.5	211566.25	1763152.5	755849.25	226008.25	1095027.0	16518981.5	1084956.0	200387.25	705617.5	1567808.5	177082.5
Pottiales	Dicranales	Funariales	8.780545462420966	0.0	0.6767678090300552	84624462.0	6040229.75	2698332.75	3169054.0	929828.25	3658266.0	1947118.5	842881.25	4505547.5	28474830.75	4375240.75	792175.25	1905458.75	3035895.25	681262.25
Pottiales	Dicranales	Hypnodendrales	7.705440922645824	6.661338147750939e-15	0.5071793527884991	97099350.75	4790036.25	3070447.75	3763153.75	853655.25	4378535.25	2124257.25	795640.5	3810904.25	34911262.5	3762454.75	785636.0	2185932.75	3670104.75	658959.25
Pottiales	Dicranales	Gigaspermales	9.872829392062545	0.0	0.5290929483174928	22353301.0	1036120.25	702483.75	892307.0	184364.75	1034876.25	487139.75	162560.0	942370.0	7843411.25	823485.25	177224.5	474345.25	873204.5	140675.5
Pottiales	Dicranales	Hookeriales	7.808106199480547	2.886579864025407e-15	0.6680590706636003	167381973.0	10977207.25	5612848.0	6103824.25	1717094.25	7111557.0	3966203.75	1707119.5	8268345.0	57290097.75	8270438.75	1636341.75	3923860.5	5763147.0	1354102.25
Pottiales	Dicranales	Hedwigiales	8.36545338148151	0.0	0.514251624539951	115474666.0	5562464.75	3762673.0	4420986.5	940035.0	5076631.5	2679440.5	937548.5	4523178.75	41242987.0	4433146.75	910724.25	2695132.0	4328118.0	737558.5
Pottiales	Dicranales	Buxbaumiales	6.328696720091232	1.2416934147552183e-10	0.8652974750005051	17931575.25	1892579.5	635904.75	589241.25	266229.0	783522.75	395925.75	235682.5	1637739.25	5175514.25	1410441.0	268470.0	389113.0	528806.5	212248.25
Pottiales	Dicranales	Aulacomniales	8.582693518078566	0.0	0.46764242122777255	67629921.5	3125457.0	2154701.5	2651672.5	538934.25	3054942.25	1492867.0	535215.0	2510804.25	24418489.0	2430211.25	529693.5	1515830.0	2564921.75	434527.25
Pottiales	Dicranales	Orthodontiales	8.33766022731449	0.0	0.43753368197059517	47096091.75	2015173.0	1500768.0	1848651.25	363129.5	2124978.5	1031688.75	360030.5	1667191.0	17071040.5	1577309.75	358457.25	1055038.5	1794391.5	282621.25
Pottiales	Dicranales	Hypopterygiales	8.900684516988857	0.0	0.6330579769043413	23847191.5	1454921.0	799117.5	882553.25	235665.0	1021106.75	550734.0	236779.0	1123197.25	8222362.25	1146015.75	214474.0	571855.75	824098.75	190840.25
Pottiales	Ditrichales	Bartramiales	12.657885964529717	0.0	0.5303368648432998	39329903.5	1809138.75	729678.25	1403850.75	237472.5	1628521.25	509146.0	238877.25	1519433.75	14828854.75	1454996.25	226142.25	533870.0	1418731.25	184962.5
